Kanton;BFS Code;Gemeindename;PLZ;Ortsbezeichnung;Orts Bez Post;Jahr
ZH;192;Egg;8132;Egg b. Zürich;Egg bei Zürich;2014
SZ;1301;Einsiedeln;8847;Egg SZ;Egg;2014
AG;4066;Eggenwil;5445;Eggenwil;Eggenwil;2014
VS;6004;Eggerberg;3939;Eggerberg;Eggerberg;2014
SG;3212;Eggersriet;9034;Eggersriet;Eggersriet;2014
BE;901;Eggiwil;3537;Eggiwil;Eggiwil;2014
ZH;55;Eglisau;8193;Eglisau;Eglisau;2014
AG;4195;Egliswil;5704;Egliswil;Egliswil;2014
TG;4411;Egnach;9322;Egnach;Egnach;2014
LU;1127;Egolzwil;6243;Egolzwil;Egolzwil;2014
AG;4049;Ehrendingen;5420;Ehrendingen;Unterehrendingen;2014
LU;1084;Eich;6205;Eich;Eich;2014
SG;3252;Eichberg;9453;Eichberg;Eichberg;2014
LU;1066;Schwarzenberg;6013;Eigenthal;Eigenthal;2014
BE;584;Lauterbrunnen;3823;Eigergletscher;Eigergletscher;2014
AG;4161;Eiken;5074;Eiken;Eiken;2014
BE;768;Spiez;3646;Einigen;Einigen;2014
SZ;1301;Einsiedeln;8840;Einsiedeln;Einsiedeln;2014
VS;6194;Eischoll;3943;Eischoll;Eischoll;2014
VS;6087;Saint-Martin (VS);1969;Eison (St.Martin);Eison;2014
VS;6282;Eisten;3922;Eisten;Eisten;2014
AG;4097;Elfingen;5077;Elfingen;Elfingen;2014
ZH;217;Elgg;8353;Elgg;Elgg;2014
ZH;218;Ellikon an der Thur;8548;Ellikon a d Thur;Ellikon an der Thur;2014
ZH;35;Marthalen;8464;Ellikon am Rhein;Ellikon am Rhein;2014
GL;1631;Glarus Süd;8767;Elm;Elm;2014
ZH;219;Elsau;8352;Elsau;Elsau;2014
VS;6283;Embd;3926;Embd;Embd;2014
ZH;56;Embrach;8424;Embrach;Embrach;2014
BE;562;Aeschi bei Spiez;3711;Emdthal;Emdthal;2014
LU;1024;Emmen;6032;Emmen;Emmen;2014
LU;1054;Ebikon;6020;Emmenbrücke;Sedel;2014
BE;903;Lauperswil;3543;Emmenmatt;Emmenmatt;2014
NW;1504;Emmetten;6376;Emmetten;Emmetten;2014
AG;4305;Endingen;5304;Endingen;Endingen;2014
OW;1402;Engelberg;6390;Engelberg;Engelberg;2014
SG;3442;Gaiserwald;9032;Engelburg;Engelburg;2014
NE;6453;Enges;2073;Enges;Enges;2014
BE;627;Worb;3077;Enggistein;Enggistein;2014
GL;1631;Glarus Süd;8765;Engi;Engi;2014
BE;888;Wald (BE);3086;Englisberg;Englisberg;2014
NE;6487;Val-de-Ruz;2063;Engollon;Engollon;2014
TG;4951;Wigoltingen;8556;Engwang;Engwang;2014
TG;4701;Wäldi;8564;Engwilen;Engwilen;2014
GL;1632;Glarus;8755;Ennenda;Ennenda;2014
AG;4026;Ennetbaden;5408;Ennetbaden;Ennetbaden;2014
SG;3360;Nesslau;9651;Ennetbühl;Ennetbühl;2014
NW;1505;Ennetbürgen;6373;Ennetbürgen;Ennetbürgen;2014
NW;1506;Ennetmoos;6372;Ennetmoos;Ennetmoos;2014
FR;2162;Bas-Intyamon;1667;Enney;Enney;2014
LU;1002;Entlebuch;6162;Entlebuch;Entlebuch;2014
FR;2135;Gruyères;1663;Epagny;Epagny;2014
VD;5584;Epalinges;1066;Epalinges;Epalinges;2014
VD;5520;Essertines-sur-Yverdon;1417;Epautheyres;Epautheyres;2014
JU;6808;Clos du Doubs;2885;Epauvillers;Epauvillers;2014
FR;2189;Ependes (FR);1731;Ependes FR;Ependes;2014
VD;5914;Ependes (VD);1434;Ependes VD;Ependes;2014
VD;5613;Bourg-en-Lavaux;1098;Epesses;Epesses;2014
JU;6808;Clos du Doubs;2886;Epiquerez;Epiquerez;2014
SO;2574;Eppenberg-Wöschnau;5012;Eppenberg;Eppenberg;2014
BE;735;Epsach;3272;Epsach;Epsach;2014
BL;2885;Eptingen;4458;Eptingen;Eptingen;2014
VS;6104;Ergisch;3947;Ergisch;Ergisch;2014
BE;953;Eriswil;4952;Eriswil;Eriswil;2014
BE;924;Eriz;3619;Eriz;Eriz;2014
BE;492;Erlach;3235;Erlach;Erlach;2014
BE;763;Erlenbach im Simmental;3762;Erlenbach i. S.;Erlenbach im Simmental;2014
ZH;151;Erlenbach (ZH);8703;Erlenbach ZH;Erlenbach;2014
