Kanton;BFS Code;Gemeindename;PLZ;Ortsbezeichnung;Orts Bez Post;Jahr
SO;2428;Mümliswil-Ramiswil;4719;Ramiswil;Ramiswil;2014
BL;2832;Ramlinsburg;4433;Ramlinsburg;Ramlinsburg;2014
GR;3764;Valsot;7556;Ramosch;Ramosch;2014
BE;955;Lützelflüh;3435;Ramsei;Ramsei;2014
SH;2963;Ramsen;8262;Ramsen;Ramsen;2014
TI;5254;Mendrisio;6862;Rancate;Rancate;2014
VD;5760;Rances;1439;Rances;Rances;2014
VS;6287;Randa;3928;Randa;Wildi;2014
VS;6244;Randogne;3975;Randogne;Randogne;2014
BE;955;Lützelflüh;3439;Ranflüh;Ranflüh;2014
TI;5398;Gambarogno;6577;Ranzo;Ranzo;2014
TG;4846;Raperswilen;8558;Raperswilen;Raperswilen;2014
BE;310;Rapperswil (BE);3255;Rapperswil BE;Bittwil bei Rapperswil;2014
VS;6137;Martigny-Combe;1928;Ravoire;Ravoire;2014
UR;1212;Realp;6491;Realp;Realp;2014
JU;6720;Rebeuvelier;2832;Rebeuvelier;Rebeuvelier;2014
SG;3255;Rebstein;9445;Rebstein;Rebstein;2014
SO;2530;Recherswil;4565;Recherswil;Recherswil;2014
FR;2301;Rechthalten;1718;Rechthalten;Rechthalten;2014
JU;6809;Haute-Ajoie;2912;Réclère;Réclère;2014
ZH;95;Regensberg;8158;Regensberg;Regensberg;2014
ZH;96;Regensdorf;8105;Regensdorf;Regensdorf;2014
AR;3034;Rehetobel;9038;Rehetobel;Rehetobel;2014
BE;567;Reichenbach im Kandertal;3713;Reichenbach i. K.;Reichenbach im Kandertal;2014
SZ;1345;Reichenburg;8864;Reichenburg;Reichenburg;2014
BL;2893;Reigoldswil;4418;Reigoldswil;Reigoldswil;2014
AG;4141;Reinach (AG);5734;Reinach AG;Reinach;2014
BL;2773;Reinach (BL);4153;Reinach BL;Reinach;2014
BE;336;Reisiswil;4919;Reisiswil;Reisiswil;2014
AG;4281;Reitnau;5057;Reitnau;Reitnau;2014
AG;4315;Rekingen (AG);5332;Rekingen AG;Rekingen;2014
FR;2333;Remaufens;1617;Remaufens;Remaufens;2014
AG;4039;Remetschwil;5453;Remetschwil;Remetschwil;2014
AG;4110;Remigen;5236;Remigen;Remigen;2014
VD;5591;Renens (VD);1020;Renens VD;Renens;2014
VD;5412;Rennaz;1847;Rennaz;Rennaz;2014
AR;3035;Reute (AR);9411;Reute AR;Reute;2014
BE;767;Reutigen;3647;Reutigen;Reutigen;2014
ZH;230;Winterthur;8404;Reutlingen;Reutlingen;2014
VD;5644;Reverolle;1128;Reverolle;Reverolle;2014
GR;3723;Rhäzüns;7403;Rhäzüns;Rhäzüns;2014
ZH;38;Rheinau;8462;Rheinau;Rheinau;2014
SG;3235;Rheineck;9424;Rheineck;Rheineck;2014
AG;4258;Rheinfelden;4310;Rheinfelden;Rheinfelden;2014
AG;4170;Laufenburg;5084;Rheinsulz;Rheinsulz;2014
FR;2148;Riaz;1632;Riaz;Riaz;2014
TI;5138;Cugnasco-Gerra;6595;Riazzino;Riazzino;2014
LU;1140;Reiden;6263;Richenthal;Richenthal;2014
BE;627;Worb;3078;Richigen;Richigen;2014
ZH;138;Richterswil;8805;Richterswil;Richterswil;2014
SG;3379;Wattwil;8726;Ricken SG;Ricken;2014
TG;4751;Rickenbach (TG);9532;Rickenbach b. Wil;Rickenbach bei Wil;2014
BL;2857;Rickenbach (BL);4462;Rickenbach BL;Rickenbach;2014
LU;1097;Rickenbach (LU);6221;Rickenbach LU;Rickenbach;2014
SO;2582;Rickenbach (SO);4613;Rickenbach SO;Rickenbach;2014
ZH;225;Rickenbach (ZH);8545;Rickenbach Sulz;Sulz;2014
SZ;1372;Schwyz;6432;Rickenbach SZ;Rickenbach;2014
VS;6139;Riddes;1908;Riddes;Riddes;2014
BE;563;Frutigen;3724;Ried (Frutigen);Ried;2014
VS;6008;Ried-Brig;3911;Ried-Brig;Ried-Brig;2014
SG;3341;Gommiswald;8739;Rieden SG;Rieden;2014
VS;6181;Riederalp;3987;Riederalp;Riederalp;2014
SO;2554;Riedholz;4533;Riedholz;Riedholz;2014
ZH;198;Uster;8616;Riedikon;Riedikon;2014
VS;6181;Riederalp;3986;Ried-Mörel;Ried-Mörel;2014
BE;852;Guggisberg;3159;Riedstätt;Riedstätt;2014
BS;2703;Riehen;4125;Riehen;Riehen;2014
GR;3619;Ilanz/Glion;7128;Riein;Riein;2014
SZ;1369;Riemenstalden;6452;Riemenstalden;Riemenstalden;2014
AG;4316;Rietheim;5323;Rietheim;Rietheim;2014
VD;5613;Bourg-en-Lavaux;1097;Riex;Riex;2014
BE;852;Guggisberg;3156;Riffenmatt;Riffenmatt;2014
ZH;12;Rifferswil;8911;Rifferswil;Rifferswil;2014
BE;879;Riggisberg;3132;Riggisberg;Riggisberg;2014
LU;1069;Weggis;6356;Rigi Kaltbad;Rigi Kaltbad;2014
ZH;231;Zell (ZH);8486;Rikon im Tösstal;Rikon im Tösstal;2014
BE;590;Ringgenberg (BE);3852;Ringgenberg BE;Ringgenberg;2014
AG;4111;Riniken;5223;Riniken;Riniken;2014
GR;3536;Riom-Parsonz;7463;Riom;Riom;2014
TI;5263;Riva San Vitale;6826;Riva San Vitale;Riva S. Vitale;2014
TI;5317;Maggia;6674;Riveo;Riveo;2014
TI;5238;Monteceneri;6802;Rivera;Rivera;2014
TI;5003;Cadenazzo;6599;Robasacco;Robasacco;2014
VD;5413;Roche (VD);1852;Roche VD;Roche;2014
BE;704;Roches (BE);2762;Roches BE;Roches;2014
JU;6803;Rocourt;2907;Rocourt;Rocourt;2014
SO;2479;Rodersdorf;4118;Rodersdorf;Rodersdorf;2014
TI;5078;Prato (Leventina);6772;Rodi-Fiesso;Rodi;2014
BL;2790;Roggenburg;2814;Roggenburg;Roggenburg;2014
LU;1142;Roggliswil;6265;Roggliswil;Roggliswil;2014
BE;337;Roggwil (BE);4914;Roggwil BE;Roggwil;2014
TG;4431;Roggwil (TG);9325;Roggwil TG;Roggwil;2014
SO;2498;Rohr (SO);4655;Rohr b. Olten;Rohr bei Olten;2014
BE;338;Rohrbach;4938;Rohrbach;Rohrbach;2014
LU;1151;Willisau;6132;Rohrmatt;Rohrmatt;2014
VD;5861;Rolle;1180;Rolle;Rolle;2014
VD;5761;Romainmôtier-Envy;1323;Romainmôtier;Envy;2014
VD;5592;Romanel-sur-Lausanne;1032;Romanel-s-Lausanne;Romanel-sur-Lausanne;2014
VD;5645;Romanel-sur-Morges;1122;Romanel-sur-Morges;Romanel-sur-Morges;2014
FR;2152;Sâles;1626;Romanens;Romanens;2014
TG;4436;Romanshorn;8590;Romanshorn;Romanshorn;2014
AG;4008;Küttigen;5022;Rombach;Rombach;2014
LU;1039;Römerswil;6027;Römerswil LU;Römerswil;2014
BE;442;Romont (BE);2538;Romont BE;Romont;2014
LU;1007;Romoos;6113;Romoos;Romoos;2014
GR;3541;Tinizong-Rona;7454;Rona;Rona;2014
TI;5125;Ronco sopra Ascona;6622;Ronco sopra Ascona;Ronco sopra Ascona;2014
GR;3711;Rongellen;7430;Rongellen;Rongellen;2014
LU;1065;Root;6037;Root;Root;2014
LU;1065;Root;6039;Root D4;Längenbold;2014
VD;5798;Ropraz;1088;Ropraz;Ropraz;2014
SG;3215;Rorschach;9400;Rorschach;Rorschach;2014
SG;3216;Rorschacherberg;9404;Rorschacherberg;Rorschacherberg;2014
BL;2791;Röschenz;4244;Röschenz;Röschenz;2014
GR;3808;Rossa;6548;Rossa;Rossa;2014
JU;6721;Rossemaison;2842;Rossemaison;Rossemaison;2014
FR;2222;Rossens (FR);1728;Rossens FR;Rossens;2014
VD;5830;Villarzel;1554;Rossens VD;Rossens;2014
BE;668;Mühleberg;3204;Rosshäusern;Rosshäusern;2014
SG;3427;Wil (SG);9512;Rossrüti;Rossrüti;2014
VS;6010;Termen;3913;Rosswald;Rosswald;2014
BE;904;Röthenbach im Emmental;3538;Röthenbach i. E.;Röthenbach im Emmental;2014
GR;3637;Rothenbrunnen;7405;Rothenbrunnen;Rothenbrunnen;2014
LU;1040;Rothenburg;6023;Rothenburg;Rothenburg;2014
BL;2858;Rothenfluh;4467;Rothenfluh;Rothenfluh;2014
SZ;1370;Rothenthurm;6418;Rothenthurm;Rothenthurm;2014
AG;4282;Rothrist;4852;Rothrist;Gfill;2014
VS;6008;Ried-Brig;3901;Rothwald;Rothwald;2014
AG;4238;Rottenschwil;8919;Rottenschwil;Werd;2014
GR;3834;Roveredo (GR);6535;Roveredo GR;Roveredo;2014
TI;5226;Capriasca;6957;Roveredo TI;Roveredo;2014
TI;5219;Rovio;6821;Rovio;Rovio;2014
VD;5928;Rovray;1463;Rovray;Rovray;2014
BE;623;Rubigen;3113;Rubigen;Beitenwil;2014
BE;905;Rüderswil;3437;Rüderswil;Rüderswil;2014
SH;2938;Rüdlingen;8455;Rüdlingen;Rüdlingen;2014
ZH;40;Trüllikon;8465;Rudolfingen;Rudolfingen;2014
AG;4075;Rudolfstetten-Friedlisb.;8964;Rudolfstetten;Rudolfstetten;2014
BE;424;Wynigen;3474;Rüedisbach;Rüedisbach;2014
BE;956;Rüegsau;3417;Rüegsau;Rüegsau;2014
BE;956;Rüegsau;3418;Rüegsbach;Rüegsbach;2014
GR;3986;Tujetsch;7189;Rueras;Selva;2014
SG;3342;Eschenbach (SG);8735;Rüeterswil;Rüeterswil;2014
VD;5534;Rueyres;1046;Rueyres;Rueyres;2014
FR;2039;Rueyres-les-Prés;1542;Rueyres-les-Prés;Rueyres-les-Prés;2014
AG;4112;Rüfenach;5235;Rüfenach AG;Rüfenach;2014
BE;627;Worb;3075;Rüfenacht BE;Rüfenacht;2014
BE;421;Rumendingen;3472;Rumendingen;Rumendingen;2014
AG;4317;Rümikon;5464;Rümikon AG;Rümikon;2014
ZH;97;Rümlang;8153;Rümlang;Rümlang;2014
ZH;178;Russikon;8332;Rumlikon;Rumlikon;2014
BL;2859;Rümlingen;4444;Rümlingen;Rümlingen;2014
BL;2860;Rünenberg;4497;Rünenberg;Rünenberg;2014
AG;4206;Rupperswil;5102;Rupperswil;Rupperswil;2014
BE;310;Rapperswil (BE);3251;Ruppoldsried;Ruppoldsried;2014
BE;853;Rüschegg;3153;Rüschegg Gambach;Rüschegg;2014
BE;853;Rüschegg;3154;Rüschegg Heubach;Graben;2014
GR;3619;Ilanz/Glion;7154;Ruschein;Ruschein;2014
ZH;139;Rüschlikon;8803;Rüschlikon;Rüschlikon;2014
GE;6637;Russin;1281;Russin;Russin;2014
TI;5136;Onsernone;6662;Russo;Russo;2014
LU;1098;Ruswil;6017;Ruswil;Rüediswil;2014
BE;393;Rüti bei Büren;3295;Rüti b. Büren;Rüti bei Büren;2014
BE;879;Riggisberg;3099;Rüti b. Riggisberg;Rüti bei Riggisberg;2014
GL;1631;Glarus Süd;8782;Rüti GL;Rüti;2014
ZH;118;Rüti (ZH);8630;Rüti ZH;Rüti;2014
AG;4021;Baden;5406;Rütihof;Rütihof;2014
UR;1215;Seelisberg;6441;Rütli;Rütli;2014
BE;340;Rütschelen;4933;Rütschelen;Rütschelen;2014
SO;2555;Rüttenen;4522;Rüttenen;Rüttenen;2014
TI;5192;Lugano;6977;Ruvigliana;Ruvigliana;2014
TI;5017;Sant'Antonino;6592;S. Antonino;S. Antonino;2014
TI;5018;Sant'Antonio;6583;S. Antonio;S. Antonio (Val Morobbia);2014
GR;3985;Sumvitg;7174;S. Benedetg;S. Benedetg;2014
GR;3822;Mesocco;6565;S. Bernardino;S. Bernardino-Villaggio;2014
GR;3561;Poschiavo;7741;S. Carlo GR;San Carlo;2014
TI;5398;Gambarogno;6575;S. Nazzaro;S. Nazzaro;2014
TI;5266;Stabio;6854;S. Pietro;S. Pietro;2014
GR;3835;San Vittore;6534;S. Vittore;S. Vittore;2014
BE;843;Saanen;3792;Saanen;Saanen;2014
BE;843;Saanen;3777;Saanenmöser;Saanenmöser;2014
GR;3883;Saas;7247;Saas im Prättigau;Saas im Prättigau;2014
VS;6288;Saas-Almagell;3905;Saas-Almagell;Saas-Almagell;2014
VS;6289;Saas-Balen;3908;Saas-Balen;Saas-Balen;2014
VS;6290;Saas-Fee;3906;Saas-Fee;Saas-Fee;2014
VS;6291;Saas-Grund;3910;Saas-Grund;Saas-Grund;2014
OW;1406;Sachseln;6072;Sachseln;Sachseln;2014
AG;4283;Safenwil;5745;Safenwil;Safenwil;2014
GR;3672;Safiental;7107;Safien Platz;Safien;2014
BE;746;Safnern;2553;Safnern;Safnern;2014
TI;5269;Breggia;6839;Sagno;Sagno;2014
GR;3581;Sagogn;7152;Sagogn;Sagogn;2014
JU;6757;Saignelégier;2350;Saignelégier;Saignelégier;2014
VS;6140;Saillon;1913;Saillon;Saillon;2014
ZH;171;Bauma;8493;Saland;Blitterswil;2014
SG;3274;Sennwald;9465;Salez;Salez;2014
VS;6113;Salgesch;3970;Salgesch;Salgesch;2014
TG;4441;Salmsach;8599;Salmsach;Hungerbüel;2014
TI;5254;Mendrisio;6872;Salorino;Salorino;2014
GR;3538;Salouf;7462;Salouf;Salouf;2014
FR;2277;Salvenach;1794;Salvenach;Salvenach;2014
GR;3786;Samedan;7503;Samedan;Samedan;2014
GR;3752;Samnaun;7563;Samnaun Dorf;Samnaun;2014
GR;3752;Samnaun;7562;Samnaun-Compatsch;Laret;2014
ZH;138;Richterswil;8833;Samstagern;Samstagern;2014
BE;853;Rüschegg;1738;Sangernboden;Schwefelberg Bad;2014
SG;3296;Sargans;7320;Sargans;Sargans;2014
BE;360;Wohlen bei Bern;3049;Säriswil;Säriswil;2014
AG;4076;Sarmenstorf;5614;Sarmenstorf;Sarmenstorf;2014
GE;6638;Satigny;1242;Satigny;Satigny;2014
SZ;1371;Sattel;6417;Sattel;Sattel;2014
VD;5437;Saubraz;1189;Saubraz;Saubraz;2014
JU;6722;Saulcy;2873;Saulcy;Saulcy;2014
NE;6487;Val-de-Ruz;2065;Savagnier;Savagnier;2014
GR;3539;Savognin;7460;Savognin;Savognin;2014
TI;5221;Savosa;6942;Savosa;Savosa;2014
SG;3274;Sennwald;9468;Sax;Sax;2014
BE;591;Saxeten;3813;Saxeten;Saxeten;2014
VS;6141;Saxon;1907;Saxon;Saxon;2014
GR;3945;Trimmis;7202;Says;Says;2014
AR;3035;Reute (AR);9414;Schachen b. Reute;Schachen bei Reute;2014
AR;3001;Herisau;9112;Schachen b.Herisau;Schachen bei Herisau;2014
LU;1009;Werthenstein;6105;Schachen LU;Schachen;2014
SH;2939;Schaffhausen;8207;Schaffhausen;Herblingen;2014
SH;2939;Schaffhausen;8200;Schaffhausen;Schaffhausen;2014
SH;2939;Schaffhausen;8203;Schaffhausen;Buchthalen;2014
AG;4207;Schafisheim;5503;Schafisheim;Schafisheim;2014
BE;538;Fraubrunnen;3314;Schalunen;Schalunen;2014
GR;3788;S-chanf;7525;S-chanf;S-chanf;2014
BE;906;Schangnau;6197;Schangnau;Schangnau;2014
SG;3315;Schänis;8718;Schänis;Schänis;2014
GR;3638;Scharans;7412;Scharans;Scharans;2014
BE;567;Reichenbach im Kandertal;3722;Scharnachtal;Scharnachtal;2014
UR;1213;Schattdorf;6467;Schattdorf;Schattdorf;2014
GR;3671;Tomils;7419;Scheid;Scheid;2014
LU;1099;Schenkon;6214;Schenkon;Tann;2014
AG;4113;Scherz;5246;Scherz;Scherz;2014
BE;747;Scheuren;2556;Scheuren;Scheuren;2014
GR;3962;Schiers;7220;Schiers;Schiers;2014
SZ;1321;Feusisberg;8834;Schindellegi;Schindellegi;2014
AG;4114;Schinznach-Bad;5116;Schinznach Bad;Schinznach-Bad;2014
AG;4125;Schinznach;5107;Schinznach Dorf;Schinznach-Dorf;2014
GR;3987;Trun;7168;Schlans;Schlans;2014
ZH;226;Schlatt (ZH);8418;Schlatt;Schlatt bei Winterthur;2014
TG;4546;Schlatt (TG);8252;Schlatt TG;Neuparadies;2014
TG;4536;Basadingen-Schlattingen;8255;Schlattingen;Schlattingen;2014
SH;2952;Schleitheim;8226;Schleitheim;Schleitheim;2014
LU;1100;Schlierbach;6231;Schlierbach;Schlierbach;2014
ZH;247;Schlieren;8952;Schlieren;Schlieren;2014
AG;4142;Schlossrued;5044;Schlossrued;Schlossrued;2014
BE;624;Schlosswil;3082;Schlosswil;Schlosswil;2014
GR;3582;Schluein;7151;Schluein;Schluein;2014
SG;3338;Schmerikon;8716;Schmerikon;Schmerikon;2014
BE;959;Walterswil (BE);3464;Schmidigen-Mühlew;Schmidigen;2014
ZH;228;Turbenthal;8495;Schmidrüti;Schmidrüti;2014
AG;4143;Schmiedrued;5046;Schmiedrued;Schmiedrued;2014
GR;3514;Schmitten (GR);7493;Schmitten (Albula);Schmitten;2014
FR;2305;Schmitten (FR);3185;Schmitten FR;Schmitten;2014
AG;4318;Schneisingen;5425;Schneisingen;Schneisingen;2014
SO;2461;Schnottwil;3253;Schnottwil;Schnottwil;2014
TG;4461;Amriswil;8581;Schocherswil;Schocherswil;2014
AG;4144;Schöftland;5040;Schöftland;Schöftland;2014
ZH;140;Schönenberg (ZH);8824;Schönenberg ZH;Schönenberg;2014
BL;2774;Schönenbuch;4124;Schönenbuch;Schönenbuch;2014
AR;3003;Schönengrund;9105;Schönengrund;Schönengrund;2014
LU;1041;Schongau;6288;Schongau;Schongau;2014
TG;4756;Schönholzerswilen;8577;Schönholzerswilen;Hagenwil am Nollen;2014
BE;843;Saanen;3778;Schönried;Schönried;2014
LU;1143;Schötz;6247;Schötz;Schötz;2014
SZ;1346;Schübelbach;8862;Schübelbach;Schübelbach;2014
BE;907;Signau;3535;Schüpbach;Schüpbach;2014
AG;4259;Schupfart;4325;Schupfart;Schupfart;2014
BE;311;Schüpfen;3054;Schüpfen;Schüpfen;2014
LU;1008;Schüpfheim;6170;Schüpfheim;Schüpfheim;2014
AG;4176;Schwaderloch;5326;Schwaderloch;Schwaderloch;2014
GL;1631;Glarus Süd;8762;Schwanden GL;Schwanden;2014
BE;905;Rüderswil;3433;Schwanden i. E.;Schwanden im Emmental;2014
BE;938;Sigriswil;3657;Schwanden Sigrisw;Schwanden bei Sigriswil;2014
BE;954;Huttwil;4953;Schwarzenbach BE;Schwarzenbach;2014
SG;3405;Jonschwil;9536;Schwarzenbach SG;Schwarzenbach;2014
LU;1066;Schwarzenberg;6103;Schwarzenberg LU;Schwarzenberg;2014
BE;855;Schwarzenburg;3150;Schwarzenburg;Wahlern;2014
BE;935;Oberlangenegg;3616;Schwarzenegg;Schwarzenegg;2014
BE;341;Schwarzhäusern;4911;Schwarzhäusern;Schwarzhäusern;2014
AR;3004;Schwellbrunn;9103;Schwellbrunn;Schwellbrunn;2014
AI;3105;Schwende;9057;Schwende;Schwende;2014
BE;762;Diemtigen;3757;Schwenden;Schwenden;2014
SG;3293;Mels;7325;Schwendi;Schwendi im Weisstannental;2014
ZH;197;Schwerzenbach;8603;Schwerzenbach;Schwerzenbach;2014
SZ;1372;Schwyz;6430;Schwyz;Schwyz;2014
GR;3762;Scuol;7550;Scuol;Scuol;2014
GR;3986;Tujetsch;7188;Sedrun;Sedrun;2014
BE;312;Seedorf (BE);3267;Seedorf BE;Seedorf;2014
UR;1214;Seedorf (UR);6462;Seedorf UR;Seedorf;2014
UR;1215;Seelisberg;6377;Seelisberg;Seelisberg;2014
AG;4208;Seengen;5707;Seengen;Seengen;2014
SO;2480;Seewen;4206;Seewen SO;Seewen;2014
SZ;1372;Schwyz;6423;Seewen SZ;Seewen;2014
GR;3972;Seewis im Prättigau;7212;Seewis Dorf;Seewis Dorf;2014
BE;883;Seftigen;3662;Seftigen;Seftigen;2014
GR;3982;Disentis/Mustér;7186;Segnas;Segnas;2014
JU;6808;Clos du Doubs;2888;Seleute;Seleute;2014
GR;3811;Selma;6545;Selma;Selma;2014
BL;2833;Seltisberg;4411;Seltisberg;Seltisberg;2014
SO;2556;Selzach;2545;Selzach;Selzach;2014
TI;5019;Sementina;6514;Sementina;Sementina;2014
TI;5050;Serravalle;6714;Semione;Semione;2014
LU;1102;Sempach;6204;Sempach;Sempach;2014
LU;1093;Neuenkirch;6203;Sempach Station;Sempach Station;2014
FR;2336;Semsales;1623;Semsales;Semsales;2014
ZH;230;Winterthur;8482;Sennhof;Sennhof;2014
SG;3274;Sennwald;9466;Sennwald;Sennwald;2014
AG;4209;Seon;5703;Seon;Seon;2014
GR;3871;Klosters-Serneus;7249;Serneus;Serneus;2014
TI;5160;Brusino Arsizio;6867;Serpiano;Serpiano;2014
VD;5799;Servion;1077;Servion;Servion;2014
TI;5222;Sessa;6997;Sessa;Sessa;2014
ZH;227;Seuzach;8472;Seuzach;Oberohringen;2014
SG;3275;Sevelen;9475;Sevelen;Sevelen;2014
VD;5500;Sévery;1141;Sévery;Sévery;2014
GR;3619;Ilanz/Glion;7127;Sevgein;Sevgein;2014
GR;3619;Ilanz/Glion;7157;Siat;Siat;2014
SH;2953;Siblingen;8225;Siblingen;Siblingen;2014
AG;4047;Würenlingen;5301;Siggenthal Station;Siggenthal Station;2014
LU;1098;Ruswil;6019;Sigigen;Sigigen;2014
TI;5238;Monteceneri;6806;Sigirino;Sigirino;2014
AG;4319;Siglistorf;5462;Siglistorf;Siglistorf;2014
BE;907;Signau;3534;Signau;Signau;2014
BE;938;Sigriswil;3655;Sigriswil;Sigriswil;2014
UR;1216;Silenen;6473;Silenen;Silenen;2014
GR;3640;Sils im Domleschg;7411;Sils im Domleschg;Sils im Domleschg;2014
GR;3789;Sils im Engadin/Segl;7515;Sils/Segl Baselgia;Sils im Engadin;2014
GR;3790;Silvaplana;7513;Silvaplana;Silvaplana;2014
VS;6265;Savièse;1950;Sion;Sanetsch;2014
TG;4761;Sirnach;8370;Sirnach;Hofen bei Sirnach;2014
BL;2861;Sissach;4450;Sissach;Sissach;2014
AG;4177;Sisseln;4334;Sisseln AG;Sisseln;2014
TG;4511;Zihlschlacht-Sitterdorf;8589;Sitterdorf;Sitterdorf;2014
FR;2099;Siviriez;1678;Siviriez;Villaranon;2014
GR;3823;Soazza;6562;Soazza;Soazza;2014
GR;3792;Bregaglia;7610;Soglio;Soglio;2014
SO;2601;Solothurn;4500;Solothurn;Solothurn;2014
BE;444;Sonceboz-Sombeval;2605;Sonceboz-Sombeval;Sonceboz;2014
TI;5129;Sonogno;6637;Sonogno;Sonogno;2014
TI;5192;Lugano;6968;Sonvico;Sonvico;2014
GE;6639;Soral;1286;Soral;Soral;2014
LU;1004;Flühli;6174;Sörenberg;Sörenberg;2014
TI;5225;Sorengo;6924;Sorengo;Sorengo;2014
FR;2153;Sorens;1642;Sorens;Sorens;2014
BE;710;Sornetan;2716;Sornetan;Sornetan;2014
BE;711;Sorvilier;2736;Sorvilier;Sorvilier;2014
VD;5804;Jorat-Menthue;1062;Sottens;Sottens;2014
JU;6759;Soubey;2887;Soubey;Soubey;2014
JU;6729;Haute-Sorne;2864;Soulce;Soulce;2014
JU;6724;Soyhières;2805;Soyhières;Soyhières;2014
AR;3023;Speicher;9042;Speicher;Bendlehn;2014
AR;3023;Speicher;9037;Speicherschwendi;Speicherschwendi;2014
BE;355;Köniz;3095;Spiegel b. Bern;Spiegel bei Bern;2014
BE;768;Spiez;3700;Spiez;Spiez;2014
UR;1218;Spiringen;6464;Spiringen;Spiringen;2014
GR;3694;Splügen;7435;Splügen;Splügen;2014
AG;4040;Spreitenbach;8957;Spreitenbach;Spreitenbach;2014
FR;2302;St. Antoni;1713;St. Antoni;St. Antoni;2014
GR;3893;St. Antönien;7246;St. Antönien;St. Antönien;2014
SG;3203;St. Gallen;9000;St. Gallen;St. Fiden;2014
SG;3203;St. Gallen;9015;St. Gallen;Winkeln;2014
TG;4746;Münchwilen (TG);9543;St. Margarethen TG;St. Margarethen;2014
SG;3236;St. Margrethen;9430;St. Margrethen SG;Witti;2014
SG;3294;Pfäfers;7313;St. Margrethenberg;St. Margrethenberg;2014
GR;3598;St. Martin;7116;St. Martin;St. Martin;2014
GR;3787;St. Moritz;7500;St. Moritz;St. Moritz;2014
LU;1058;Horw;6005;St. Niklausen LU;St. Niklausen;2014
OW;1404;Kerns;6066;St. Niklausen OW;St. Niklausen;2014
SO;2478;Nuglar-St. Pantaleon;4421;St. Pantaleon;St. Pantaleon;2014
TG;4486;Hauptwil-Gottshaus;9225;St. Pelagiberg;St. Pelagiberg;2014
SG;3378;Neckertal;9127;St. Peterzell;St. Peterzell;2014
FR;2303;St. Silvester;1736;St. Silvester;St. Silvester;2014
BE;793;St. Stephan;3772;St. Stephan;St. Stephan;2014
LU;1139;Pfaffnau;4915;St. Urban;St. Urban;2014
FR;2304;St. Ursen;1717;St. Ursen;St. Ursen;2014
GR;3810;Santa Maria in Calanca;6541;Sta. Maria;Sta Maria in Calanca;2014
GR;3847;Val Müstair;7536;Sta. Maria V. M.;Sta. Maria Val Müstair;2014
SG;3216;Rorschacherberg;9422;Staad SG;Staad;2014
TI;5266;Stabio;6855;Stabio;Stabio;2014
ZH;100;Stadel;8174;Stadel;Stadel bei Niederglatt;2014
ZH;158;Stäfa;8712;Stäfa;Ötikon;2014
AG;4284;Staffelbach;5053;Staffelbach;Staffelbach;2014
OW;1407;Sarnen;6063;Stalden (Sarnen);Stalden;2014
VS;6294;Staldenried;3933;Staldenried;Staldenried;2014
ZH;13;Stallikon;8143;Stallikon;Felsenegg;2014
GR;3792;Bregaglia;7605;Stampa;Stampa;2014
NW;1510;Stansstad;6362;Stansstad;Stansstad;2014
SO;2584;Starrkirch-Wil;4656;Starrkirch-Wil;Starrkirch;2014
NE;6414;Saint-Aubin-Sauges;2024;St-Aubin-Sauges;St-Aubin;2014
AG;4210;Staufen;5603;Staufen;Staufen;2014
NE;6459;Saint-Blaise;2072;St-Blaise;St-Blaise;2014
JU;6758;Saint-Brais;2364;St-Brais;St-Brais;2014
VD;5727;Saint-Cergue;1264;St-Cergue;St-Cergue;2014
BE;584;Lauterbrunnen;3824;Stechelberg;Stechelberg;2014
TG;4864;Steckborn;8266;Steckborn;Steckborn;2014
BE;939;Steffisburg;3612;Steffisburg;Steffisburg;2014
BE;939;Steffisburg;3613;Steffisburg;Schwäbis;2014
ZH;114;Fischenthal;8496;Steg im Tösstal;Steg im Tösstal;2014
VS;6204;Steg-Hohtenn;3940;Steg VS;Steg;2014
AG;4260;Stein (AG);4332;Stein AG;Stein;2014
SH;2964;Stein am Rhein;8260;Stein am Rhein;Stein am Rhein;2014
AR;3005;Stein (AR);9063;Stein AR;Stein;2014
SG;3360;Nesslau;9655;Stein SG;Stein;2014
SG;3217;Steinach;9323;Steinach;Steinach;2014
TG;4411;Egnach;9314;Steinebrunn;Steinebrunn;2014
SZ;1373;Steinen;6422;Steinen;Steinen;2014
SZ;1374;Steinerberg;6416;Steinerberg;Steinerberg;2014
ZG;1708;Steinhausen;6312;Steinhausen;Steinhausen;2014
LU;1107;Wolhusen;6114;Steinhuserberg;Steinhuserberg;2014
ZH;101;Steinmaur;8162;Steinmaur;Steinmaur;2014
ZH;179;Sternenberg;8499;Sternenberg;Sternenberg;2014
AG;4041;Stetten (AG);5608;Stetten AG;Stetten;2014
SH;2919;Stetten (SH);8234;Stetten SH;Stetten;2014
TG;4606;Stettfurt;9507;Stettfurt;Stettfurt;2014
BE;358;Stettlen;3066;Stettlen;Stettlen;2014
VS;6155;Saint-Gingolph;1898;St-Gingolph;St-Gingolph;2014
GR;3504;Stierva;7459;Stierva;Stierva;2014
AG;4121;Villigen;5233;Stilli;Stilli;2014
VD;5888;Saint-Légier-La Chiésaz;1806;St-Légier-Chiésaz;St-Légier;2014
VS;6246;Saint-Léonard;1958;St-Léonard;St-Léonard;2014
VD;5435;Saint-Livres;1176;St-Livres;St-Livres;2014
SZ;1366;Morschach;6433;Stoos SZ;Stoos;2014
